88SUC,White,Yamaha,TT350F,1994,Roadbike,2011-07-18,Auckland City
88UQX,Red,Suzuki,SJ50,2002,Moped,2011-12-15,Southern
88WQF,Red,CMG,SS50,2005,Moped,2011-11-23,Bay of Plenty
891CM,Green,Trailer,HOMEMADE,1957,Trailer,2011-06-27,Canterbury
8LUNCH,Black,Mazda,LANTIS,1993,Saloon,2011-10-10,Auckland City
8PWF,Grey,Trailer,HOMEMADE,1971,Trailer,2011-11-03,Waitemata
9060W,Red,Trailer,HOMEBUILT,2001,Trailer,2011-12-19,Bay of Plenty
90WRB,Yellow,Suzuki,LT80K5,2004,All Terrain Vehicle,2011-12-05,Central
90YNF,Red,Honda,TRX400FWW,2007,All Terrain Vehicle,2011-11-07,Central
911TT,Silver,Porsche,911,1997,Sports Car,2011-10-08,Waitemata
91WRB,Red,Suzuki,LT80K4,2004,All Terrain Vehicle,2011-12-05,Central
9248S,Green,Trailer,DOMESTIC,2000,Trailer,2011-07-04,Waikato
9255R,Grey,Factory Built,MUDGEWAY TRAILER,2000,Boat Trailer,2011-12-06,Eastern
92RGS,Red,Honda,NQ 50 DY,1987,Moped,2011-09-20,Auckland City
92WSR,White,Suzuki,TR110SD,1998,Roadbike,2011-07-11,Auckland City
933AR,Grey,Homebuilt,,1994,Trailer,2011-12-06,Canterbury
933KM,Red,Trailer,HOMEMADE,1966,Trailer,2011-11-10,Bay of Plenty
93UQS,Black,Honda,DIO,1994,Moped,2011-08-09,Wellington
9414K,Red,Reid,TRAILER,1999,Trailer - Heavy,2011-08-21,Waitemata
94TWL,Blue,Harley Davidson,ELECTRA ELIDE,1991,Roadbike,2011-08-29,Auckland City
95QXD,Blue,Homebuilt,,1988,Trailer,2011-09-27,Counties/Manukau
95WTR,Silver,Suzuki,SJ-50 QT,2005,Moped,2011-08-19,Waitemata
9616T,Silver,Voyager,LOCAL,2000,Boat Trailer,2011-08-11,Waikato
9616X,,,,0,,2011-07-05,Northland
9620L,White,Trailer,TANDEM,1989,Trailer,2011-11-02,Central
9633L,Blue,Trailer,LOCAL,1976,Trailer,2011-12-11,Canterbury
977K,Blue,Trailer,TANDEM,1993,Trailer,2011-06-22,Waikato
97WFL,Red,Honda,TRX,2004,All Terrain Vehicle,2011-09-30,Bay of Plenty
97YNZ,Red,Suzuki,SJ50,2007,Moped,2011-08-30,Waitemata
98YTK,Blue,Yamaha,SX-4W,2008,Roadbike,2011-06-30,Auckland City
